PR,Result Category 1,Result Category 2,Result Category 3,Result Category 4,Result Category 5,Result Category 6,Result Category 7,Result Category 8,Result Category 9,Result Category 10,Result Category 11,Result Category 12,Result Category 13,Result Category 14,Result Category 15,Result Category 16,Truth Category 1,Truth Category 2,Truth Category 3,Truth Category 4,Truth Category 5,Truth Category 6,Truth Category 7,Truth Category 8,Truth Category 9,Truth Category 10,Truth Category 11,Truth Category 12,Truth Category 13,Truth Category 14,Truth Category 15,Truth Category 16
12,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
5,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1408,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1326,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
243,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
888,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
906,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO
1075,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1102,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1846,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1357,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2049,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1581,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
142,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1401,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES
679,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO
1385,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
765,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO
743,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO
1068,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1752,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1361,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
1827,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1833,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2013,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1768,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1549,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
636,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
641,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1328,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
